dObar	Agpmsnn	dobar
sIna	Ncmsay	sin
i	Cc	i
na	Sa	na
unUka	Ncmsay	unuk
i	Cc	i
.	Z	.

pUna	Agpfsny	pun
sAla	Ncfsn	sala
bilA	Vcp-sf	biti
səs	Si	sa
gOsti	Ncmpn	gost
.	Z	.

pa	Cc	pa
mEn	Pp1-sd	ja
pravIli	Vmp-pm	praviti
kAd	Cs	kad
me	Pp1-sa	ja
udavAli	Vmp-pm	udavati
.	Z	.

kAd	Cs	kad
se	Px--sa	sebe
ne	Qz	ne
ne	Qz	ne
.	Z	.

a	Cc	a
tEb	Qo	tEb
kAd	Cs	kad
ženIl	Vmp-sm	ženiti
jEl	Qq	jel
praIli	Vmp-pm	praviti
svAdbu	Ncfsa	svadba
pa	Cc	pa
praIli	Vmp-pm	praviti
Ima	Vmr3s	imati
.	Z	.

vAl	Ncmsn	val
•	X	•
mlAdevesta	Npfsn	mlAdevesta
.	Z	.

kakO	Cs	kako
je	Var3s	biti
bilO	Vcp-sn	biti
svirAči	Ncmpn	svirač
s	Si	sa
.	Z	.

trUba	Ncfsn	truba
.	Z	.

trUba	Ncfsn	truba
.	Z	.

mAnje	Rgc	malo
ljUdi	Ncmpg	čovek
.	Z	.

ali	Cc	ali
ne	Qz	ne
se	Px--sa	sebe
manjuvAla	Vmp-sf	manjuvati
.	Z	.

ni	Cc	ni
onA	Pp3fsn	on
ni	Cc	ni
jA	Pp1-sn	ja
.	Z	.

kao	Cs	kao
sagA	Rgp	sada
.	Z	.

pa	Cc	pa
vAl	Ncmsn	val
gOre	Rgp	gore
•	X	•
((XXX))	X	((xxx))
dugačkO	Agpnsny	dugačak
.	Z	.

al	Cc	ali
belO	Rgp	belo
svE	Pi-nsn	sav
•	X	•
Ima	Vmr3s	imati
slIke	Ncfpa	slika
.	Z	.

a	Cc	a
pOsle	Sg	posle
nosIla	Vmp-sf	nositi
vUnenu	Agpfsay	vunen
anterIju	Ncfsa	anterija
.	Z	.

otkanO	Npmsn	otkanO
pa	Cc	pa
zAprega	Ncfsn	zaprega
nAbrana	Appfsny	nabrati
dUgačko	Agpnsny	dugačak
.	Z	.

širokO	Rgp	široko
.	Z	.

k	X	k
ovO	Pd-nsn	ovaj
•	X	•
onA	Pp3fsn	on
sAg	Rgp	sad
no/	Vmp-sf	nti

sAg	Rgp	sad
nOsi	Vmr3s	nositi
kao	Cs	kao
devOjka	Ncfsn	devojka
a	Cc	a
tagAj	Rgp	tada
.	Z	.

mAni	Vmm2s	manuti
ga	Pp3msa	on
.	Z	.

tagA	Ncmsg	tag
•	X	•
mOš	Npmsn	Moš
•	X	•
takvE	Pdpa	takav
nOšnje	Ncfpa	nošnja
i	Cc	i
svekRva	Ncfsn	svekrva
mojA	Ps1fsn	moj
ovdE	Rgp	ovde
Isto	Rgp	isto
.	Z	.

takOj	Rgp	tako
se	Px--sa	sebe
nosIlo	Vmp-sn	nositi
.	Z	.

pa	Cc	pa
takvO	Pd-nsn	takav
.	Z	.

na	Sa	na
mUž	Ncmsn	muž
.	Z	.

na	Sl	na
mUži	Ncfsl	muža
šAjačne	Vmr3s	šajačnuti
pantalOne	Ncfpa	pantalone
da	Cs	da
napredEš	Qr	napredEš
pa	Cc	pa
da	Cs	da
ga	Pp3msa	on
izAtkaš	Vmr2s	izatkati
.	Z	.

pa	Cc	pa
da	Cs	da
se	Px--sa	sebe
uvAlja	Vmr3s	uvaljati
pa	Cc	pa
da	Cs	da
ga	Pp3msa	on
sašIje	Vmr3s	sašiti
.	Z	.

ako	Cs	ako
nE	Qz	ne
gOl	Vmp-sm	goti
.	Z	.

i	Cc	i
tOj	Pd-nsn	taj
•	X	•
Edno	Agpnsny	edan
vrEme	Ncnsn	vreme
i	Cc	i
bez	Sg	bez
gAḱe	Rgp	gaḱe
išlI	Vmp-pm	ići
stAri	Agpmpny	star
ljUdi	Ncmpn	čovek
.	Z	.

nE	Qz	ne
imAlo	Vmp-sn	imati
od	Cs	od
štO	Cs	što
.	Z	.

pRteno	Appnsny	prten
.	Z	.

pOsle	Rgp	posle
od	Sg	od
konOplje	Ncfsg	konoplja
ovOj	Pd-nsn	ovaj
što	Cs	što
sAde	Vmr3p	saditi
sƏg	Rgp	sad
ne	Qz	ne
dAvu	Vmr3p	davati
.	Z	.

mOra	Vmr3s	morati
d	Cs	da
nIje	Var3s	biti
da	Vmp-sm	dati
s	Si	sa
rAde	Npmsn	rade
•	X	•
od	Sg	od
kučIna	Ncfsn	kučina
smo	Var1p	biti
t	Rgp	tu
prEli	Vmp-pm	presti
.	Z	.

pa	Cc	pa
Eve	Npfsg	Eva
peškirI	Ncmpn	peškir
Imam	Vmr1s	imati
i	Cc	i
sAg	Rgp	sad
se	Px--sa	sebe
brIšemo	Vmr1p	brisati
s	Si	sa
nji	Pp3-pa	oni
od	Sg	od
kučIna	Ncfpg	kučina
napredEmo	Vmr1p	napresti
pa	Cc	pa
.	Z	.

tkAjemo	Vmr1p	tkati
pa	Cc	pa
bElimo	Vmr1p	beliti
pa	Cc	pa
.	Z	.

tOj	Pd-nsn	taj
.	Z	.

lepOta	Ncfsn	lepota
.	Z	.

čEk	Vmm2s	čekati
da	Cs	da
vIdi	Vmr3s	videti
.	Z	.

pa	Cc	pa
je	Var3s	biti
takO	Rgp	tako
svE	Pi-nsn	sav
tkanO	Agpnsny	tkan
.	Z	.

jA	Pp1-sn	ja
sam	Var1s	biti
učIla	Vmp-sf	učiti
škOlu	Ncfsa	škola
trI	Mlc	tri
gOdine	Ncfsg	godina
On	Pp3msn	on
vOjnik	Ncmsn	vojnik
.	Z	.

onO	Pd-nsn	onaj
mAlko	Rgp	malko
koštAlo	Vmp-sn	koštati
prodAl	Vmp-sm	prodati
dEda	Ncmsn	deda
.	Z	.

mOra	Vmr3s	morati
krAvu	Ncfsa	krava
kakvO	Pi-nsn	kakav
li	Qq	li
je	Var3s	biti
tA	Cs	da
((?))	X	((?))
ga	Pp3msa	on
odnEl	Vmp-sm	odneti
u	Sa	u
bAnju	Ncfsa	Banja
.	Z	.

nemAnje	Ncnsn	nemanje
bilO	Vmp-sn	biti
.	Z	.

po	Sl	po
pOsle	Rgp	posle
Ete	I	eto
takOj	Rgp	tako
.	Z	.

jAp	Npmsn	jAp
.	Z	.

pp	Npmsn	pp
po	Sl	po
škOlutu	Ncfsa-t	škola
završIo	Vmp-sm	završiti
sam	Var1s	biti
.	Z	.

gOdine	Ncfpn	godina
ovdEkaj	Rgp	ovde
.	Z	.

mOje	Ps1nsn	moj
drUštvo	Ncnsn	društvo
.	Z	.

kojI	Pipn	koji
čEtri	Mlc	četiri
gOdin	Ncfpn	godina
•	X	•
kojI	Pi-mpn	koji
imAli	Vmp-pm	imati
.	Z	.

mogUćnos	Rgp	mogućno
onI	Pp3mpn	oni
otIšli	Vmp-pm	otići
.	Z	.

dAlje	Rgc	daleko
.	Z	.

a	Cc	a
mI	Pp1-pn	ja
si	Px--sd	sebe
•	X	•
sirotInja	Ncfsn	sirotinja
ne	Qz	ne
.	Z	.

nEma	Vmr3s	imati
otkUd	Rgp	otkud
.	Z	.

trOškovi	Ncmpn	trošak
.	Z	.

otIšla	Vmp-sf	otići
jA/	Z	jA/

jAvorka	Npfsn	Javorka
dOle	Rgp	dole
Urošova	Npnsg	Urošovo
.	Z	.

bogAti	Agpmpny	bogat
bilI	Vmp-pm	biti
.	Z	.

dabOme	Qr	dabome
.	Z	.

i	Cc	i
nemAnje	Ncnsn	nemanje
.	Z	.

kvOj	Npmsn	kvOj
će	Var3s	hteti
od	Sg	od
šesnAest	Mlc	šesnaest
gOdin	Ncfpn	godina
me	Pp1-sa	ja
oženIli	Vmp-pm	oženiti
.	Z	.

th/	Z	th/

((laugh))	X	((laugh))
tUj	Rgp	tu
.	Z	.

jA	Pp1-sn	ja
kAd	Cs	kad
sam	Var1s	biti
došlA	Vmp-sf	doći
sam	Var1s	biti
bilA	Vcp-sf	biti
u	Sl	u
ovUj	Pd-fsa	ovaj
kUću	Ncfsa	kuća
desEta	Mlofsn	deseti
.	Z	.

bilA	Vcp-sf	biti
.	Z	.

bAba	Ncfsn	baba
stAra	Agpfsny	star
.	Z	.

pa	Cc	pa
svEkar	Ncmsn	svekar
i	Cc	i
svekRva	Ncfsn	svekrva
.	Z	.

pa	Cc	pa
.	Z	.

tEtka	Ncfsn	tetka
i	Cc	i
ḱErka	Ncfsn	ćerka
jo	Npmsv	Jo
vrnUle	Vmpf	vrnuti
se	Pxsa	sebe
iz	Sg	iz
lAsovu	Pi-nsa	lAsovu
.	Z	.

mUž	Ncmsn	muž
jo	Npmsn	Jo
poginUl	Npmsn	poginUl
.	Z	.

pa	Cc	pa
•	X	•
jA	Pp1-sn	ja
i	Cc	i
mUž	Ncmsn	muž
.	Z	.

i	Cc	i
dEset	Mlc	deset
dUša	Ncfpg	duša
u	Sa	u
kUću	Ncfsa	kuća
.	Z	.

i	Cc	i
bAba	Ncfsn	baba
mesIla	Vmpf	mesiti
spremIla	Vmpf	spremiti
crepUlja	Ncfsn	crepulja
bilA	Npfsn	bilA
ovdEkaj	Rgp	ovde
odžAk	Npmsn	Odžak
.	Z	.

kobIlku	Ncfsa	kobila
a	Cc	a
mI	Pp1-pn	ja
svI	Pi-mpn	sav
n/	X	n/

svI	Pi-mpn	sav
na	Sl	na
pOslu	Ncmsl	posao
.	Z	.

onA	Pp3fsn	on
o	Sl	o
donOsi	Vmr3s	donositi
jedAn	Mlcmsn	jedan
s	Sg	sa
Ovce	Ncfpn	ovca
jedAn	Mlcmsn	jedan
s	Si	sa
jAganci	Ncnpa	jagnje
.	Z	.

onIja	Pp3mpn	onaj
na	Sa	na
žEtvu	Ncfsa	žetva
.	Z	.

svE	Pi-nsn	sav
tOj	Pd-nsn	taj
se	Px--sa	sebe
rUčno	Rgp	ručno
radElo	Vmp-sn	raditi
pa	Cc	pa
vƏzdan	Ncfpn	vəzdaa
žnjEmo	Vmr1p	žeti
.	Z	.

pa	Cc	pa
•	X	•
lAskavac	Ncmsn	laskavac
nEkakav	Pi-msn	nekakav
pa	Cc	pa
uvEč	Ncfpn	uvea
nam	Pp1-pd	mi
sAmo	Rgp	samo
zUbi	Ncmpn	zub
se	Pxsa	sebe
belIu	Vmr3p	belti
•	X	•
sa	Si	sa
sRp	Ncmsan	srp
.	Z	.

cEli	Agpmsny	cel
dAn	Ncmsn	dan
.	Z	.

mOre	Vmr3s	moći
mUke	Ncfpa	muka
s	Si	sa
bilE	Vmp-pf	biti
.	Z	.

pa	Cc	pa
smo	Var1p	biti
kopAli	Vmp-pm	kopati
nE	Qz	ne
imAlo	Vmp-sn	imati
prašAč	Ncfpn	prašaa
nE	Qz	ne
imAlo	Vmp-sn	imati
nIšta	Pi3n-n	ništa
negO	Cc	nego
.	Z	.

u	Sa	u
zorU	Ncfsa	zora
.	Z	.

kOpaš	Vmr2s	kopati
cElu	Agpfsay	ceo
njIvu	Ncfsa	njiva
.	Z	.

a	Cc	a
onO	Pd-nsn	onaj
njIva	Ncfsn	njiva
.	Z	.

skOro	Rgp	skoro
dvA	Mlc	dva
Ektara	Agpmsnn	ektara
svE	Pi-nsn	sav
s	Si	sa
kukUruz	Ncmsan	kukuruz
.	Z	.

pa	Cc	pa
kOpamo	Vmr1p	kopati
kOpamo	Vmr1p	kopati
kOpamo	Vmr1p	kopati
.	Z	.

cEli	Agpmsny	cel
dAn	Ncmsn	dan
.	Z	.

pa	Cc	pa
nEgde	Rgp	negde
.	Z	.

tvRdo	Rgp	tvrdo
korElo	Vmp-sn	koreti
onO	Pd-nsn	onaj
sAmo	Rgp	samo
dRkti	Mdc	drkti
.	Z	.

i	Cc	i
školuvAmo	Vmr1p	školuvati
•	X	•
sIna	Ncmsay	sin
.	Z	.

oženImo	Vmr1p	oženiti
.	Z	.

onO	Pd-nsn	onaj
nEma	Vmr3s	imati
•	X	•
slUžbe	Ncfpa	služba
kakvO	Pi-nsn	kakav
onI	Pp3mpn	oni
Oće	Var3s	hteti
da	Cs	da
slUže	Vmr3p	služiti
.	Z	.

snAta	Ncfsn-t	snaha
slUži	Vmr3s	služiti
sIn	Ncmsn	sin
ne	Qz	ne
.	Z	.

Ono	Pd-nsn	onaj
razgOdica	Agpfsny	razgodic
nezgOda	Ncfsn	nezgoda
znAš	Vmr2s	znati
kakvO	Pi-nsn	kakav
je	Vcr3s	biti
.	Z	.

kAd	Cs	kad
jedAn	Mlcmsn	jedan
rAdi	Sg	radi
a	Cc	a
jedAn	Mlcmsn	jedan
sedI	Agpmsny	sed
.	Z	.

onO	Pd-nsn	onaj
Odma	Rgp	odmah
svAđa	Ncfsn	svađa
Odma	Rgp	odmah
.	Z	.

ma/	Z	ma/

manjuvAše	Vmr3s	manjuvasati
se	Pxsa	sebe
jedAn	Mlcmsn	jedan
pUt	Ncmsn	put
pa	Cc	pa
se	Px--sa	sebe
sastajAše	Vme3s	sastajati
sAg	Rgp	sad
se	Px--sa	sebe
pa	Cc	pa
razdvojIli	Vmp-pm	razdvojiti
.	Z	.

unUkat	Ncmsn-t	unuk
se	Pxsa	sebe
oženIl	Vmp-sm	oženiti
On	Pp3msn	on
i	Cc	i
On	Pp3msn	on
ne	Qz	ne
